Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Luzzara, Italy",Stephen Shore,5409,"(American, born 1947)",(American),(1947),(0),(Male),1993,"Gelatin silver print, printed 2018","7 5/8 × 9 3/4"" (19.4 × 24.8 cm)
",Gift of the artist in honor of Quentin Bajac,1056.2018,Photograph,Photography,2018-10-24,Y,293466,http://www.moma.org/collection/works/293466,http://www.moma.org/media/W1siZiIsIjQ0MjAzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7bde33c92593d638,,,,19.3675387351,,,24.7650495301,,
Plate (folio 27) from ACORDE,Vicente Rojo,6646,"(Spanish, born 1932)",(Spanish),(1932),(0),(Male),1979,Folded collage,"irreg. composition  8 1/4 x 8 1/4"" (21 x 21 cm)",Purchase,158.1992.9,Illustrated Book,Drawings & Prints,1992-01-22,N,12356,,,,,,21.0,,,21.0,,
Features from Currents,Robert Rauschenberg,4823,"(American, 1925–2008)",(American),(1925),(2008),(Male),1970,One from a portfolio of 26 screenprints,"composition: 35 1/16 × 35 1/16"" (89 × 89 cm); sheet: 40 × 40"" (101.6 × 101.6 cm)",Edgar Wachenheim III Fund,306.2008.8,Print,Drawings & Prints,2008-03-12,Y,205465,http://www.moma.org/collection/works/205465,http://www.moma.org/media/W1siZiIsIjM4NzkyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b181099ba568be7d,,,,89.0,,,89.0,,
Untitled,Arturo Herrera,25582,"(Venezuelan, born 1959)",(Venezuelan),(1959),(0),(Male),1997–98,"Cut-and-pasted printed paper with gouache, watercolor, and crayon on envelope","11 7/8 x 9"" (30.2 x 22.9 cm)",Gift of Susan and Lewis Manilow,400.2002.4,Drawing,Drawings & Prints,2002-12-10,Y,86938,http://www.moma.org/collection/works/86938,http://www.moma.org/media/W1siZiIsIjM0MjczMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=db6dd2338aa78ec0,,,,30.1626,,,22.86,,
HÔTEL DU COMMANDANT DE LA GARDE DE PARIS. 40 RUE MESLAY,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1909,Albumen silver print,,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3885,Photograph,Photography,1968-03-06,N,42001,,,,,,,,,,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1933,Pencil on tracing paper,"4 1/4 x 4"" (10.8 x 10.1 cm)","Mies van der Rohe Archive, gift of the architect
",MR5.14,Mies van der Rohe Archive,Architecture & Design,,N,87615,,,,,,10.8,,,10.1,,
The Nutty Professor storyboards,"John Jensen, Jerry Lewis","74235, 69618","(American, 1924–2003) (American, 1926–2017)",(American) (American),(1924) (1926),(2003) (2017),() (Male),,,"11 × 8 1/2"" (27.9 × 21.6 cm)",Gift of Chris Lewis,819642.147,Ephemera,Film,,N,282803,,,,0.0,,27.9400558801,,,21.590043180100004,,
"Dymaxion Dwelling Machine project, Wichita House (Study for air circulation: plan and sections)",R. Buckminster Fuller,2030,"(American, 1895–1983)",(American),(1895),(1983),(Male),1945,Graphite on paper,"26 1/4 x 35 1/2"" (66.7 x 90.2 cm)","Gift of The Gilman Foundation, Inc.",213.1978,Architecture,Architecture & Design,1978-02-27,Y,266,http://www.moma.org/collection/works/266,http://www.moma.org/media/W1siZiIsIjM0ODEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=51f73911a2397005,,,,66.7,,,90.2,,
Untitled (7) from Untitled,Carroll Dunham,1652,"(American, born 1949)",(American),(1949),(0),(Male),2004-06,One from a series of fourteen lithographs,"composition (irreg.): 18 15/16 x 25 3/16"" (48.1 x 64 cm); sheet: 22 1/4 x 29 3/4"" (56.5 x 75.5 cm)",Gift of Emily Fisher Landau,488.2006.7,Print,Drawings & Prints,2006-06-01,Y,104366,http://www.moma.org/collection/works/104366,http://www.moma.org/media/W1siZiIsIjI1MzgxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a586c9693c40496e,,,,48.1,,,64.0,,
"Primary Light Group: Red, Green, Blue",Jo Baer,281,"(American, born 1929)",(American),(1929),(0),(Female),1964-65,"Oil and acrylic on canvas, three panels","Each panel 60 x 60"" (152.4 x 152.4 cm)",Philip Johnson Fund,495.1969.a-c,Painting,Painting & Sculpture,1969-05-20,Y,79825,http://www.moma.org/collection/works/79825,http://www.moma.org/media/W1siZiIsIjcyOTMxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=820a25d0c9c2893a,,,,153.4,,,153.0,,
Untitled from Ombre,Markus Raetz,4787,"(Swiss, 1941–2020)",(Swiss),(1941),(2020),(Male),2007,One from a portfolio of seventeen photogravures,"plate: 3 7/16 x 6 15/16"" (8.8 x 17.7 cm); sheet: 14 3/4 x 11 3/4"" (37.5 x 29.9 cm)","Acquired through the generosity of The Print Associates Fund
",845.2013.3,Print,Drawings & Prints,2013-10-10,Y,175619,http://www.moma.org/collection/works/175619,http://www.moma.org/media/W1siZiIsIjI4NTcxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cb122bebdcc06ef1,,,,8.8,,,17.7,,
Mayor Wagner's Sons in Canoe,Unknown photographer,8595,,(),(0),(0),(),"February 20, 1954",Gelatin silver print,"8 3/16 × 12 1/16"" (20.8 × 30.6 cm)",Gift of The New York Times,403.2005,Photograph,Photography,2005-05-11,Y,98194,http://www.moma.org/collection/works/98194,http://www.moma.org/media/W1siZiIsIjI0MDExOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fc8c2e594f5de99b,,,,20.8,,,30.6,,
Kelp,Edward Weston,6329,"(American, 1886–1958)",(American),(1886),(1958),(Male),1930,Gelatin silver print,"7 1/2 × 9 1/2"" (19.1 × 24.1 cm)","© 1981 Center for Creative Photography, Arizona Board of Regents",225.1935,Photograph,Photography,1935-11-12,Y,49090,http://www.moma.org/collection/works/49090,http://www.moma.org/media/W1siZiIsIjIwODUxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a93bda6b89c85592,,,,19.1,,,24.1,,
"The Battle Ground of Resaca, No.2 from the album Photographic Views of Sherman's Campaign",George Barnard,336,"(American, 1819–1902)",(American),(1819),(1902),(Male),1864-65,Albumen silver print,"10 1/16 × 14 1/8"" (25.6 × 35.9 cm)",Acquired by exchange with the Library of Congress,409.1969.20,Photograph,Photography,1969-05-21,Y,52805,http://www.moma.org/collection/works/52805,http://www.moma.org/media/W1siZiIsIjQyNTgxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec3692af6338866f,,,,25.6,,,35.9,,
Angel Baby,Edward Wallowitch,6230,"(American, 1932–1981)",(American),(1932),(1981),(Male),c. 1950,Gelatin silver print,"sight 3 7/8 × 6 1/4"" (9.8 × 15.8 cm)",Gift of the artist,382.1959,Photograph,Photography,1959-04-22,N,52208,,,,,,9.8,,,15.8,,
"Mozarttheater project, Dresden, Germany",Hans Poelzig,8100,"(German, 1869–1936)",(German),(1869),(1936),(Male),1919-1923,Pencil on paper,"5 1/2 x 8 5/8"" (14 x 21.9 cm)",Committee on Architecture and Design Funds,320.2014.7,Architecture,Architecture & Design,2014-05-19,Y,184417,http://www.moma.org/collection/works/184417,http://www.moma.org/media/W1siZiIsIjMwMjc4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a686428a0aaaab5e,,,,13.9700279401,,,21.907543815100002,,
"Lafayette Towers, Detroit, MI",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1960,Pencil on acetate,"31 1/2 x 60 1/2"" (80 x 153.7 cm)","Mies van der Rohe Archive, gift of the architect",MR6002.4,Mies van der Rohe Archive,Architecture & Design,,N,170269,,,,,,80.01016002029999,,,153.6703073406,,
Headpiece (page 152) from SAINTE MONIQUE,Pierre Bonnard,665,"(French, 1867–1947)",(French),(1867),(1947),(Male),1920-1930,"Wood engraving, printed in black","irreg. composition  3 7/16 x 2 1/8"" (8.8 x 5.4 cm)",The Louis E. Stern Collection,697.1964.111,Illustrated Book,Drawings & Prints,1964-10-06,N,21703,,,,,,8.8,,,5.4,,
Relics from Hale Woodruff: Selections from the Atlanta Period 1931–1946,Hale Woodruff,7630,"(American, 1900–1980)",(American),(1900),(1980),(Male),"1931–46, published 1996",One from a portfolio of eight linoleum cuts,"composition: 8 1/16 x 11"" (20.5 x 28 cm); sheet: 19 1/8 x 14 15/16"" (48.5 x 38 cm)","Gift of E. Thomas Williams, Jr. and Auldlyn Higgins Williams",142.1997.4,Print,Drawings & Prints,1997-03-06,Y,144876,http://www.moma.org/collection/works/144876,http://www.moma.org/media/W1siZiIsIjI1NjI3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f9fece921fc2c355,,,,20.5,,,28.0,,
"THE DEAD TREE (plate, facing page 102) from DUNOYER DE SEGONZAC",André Dunoyer de Segonzac,5318,"(French, 1884–1974)",(French),(1884),(1974),(Male),(Print executed 1919),"Drypoint, printed in black","plate  6 1/2 x 4 3/8"" (16.6 x 11.2 cm)",The Louis E. Stern Collection,1052.1964.3,Illustrated Book,Drawings & Prints,1964-10-06,N,30780,,,,,,16.6,,,11.2,,
Église Saint Méry,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1913,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3294,Photograph,Photography,1968-03-06,Y,41429,http://www.moma.org/collection/works/41429,http://www.moma.org/media/W1siZiIsIjI3NTQyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=348cd6042a7cbf06,,,,,,,,,
Red Amaryllis with Blue Background,Piet Mondrian,4057,"(Dutch, 1872–1944)",(Dutch),(1872),(1944),(Male),c. 1907,Watercolor on paper,"18 3/8 x 13"" (46.5 x 33.0 cm)",The Sidney and Harriet Janis Collection,1773.1967,Drawing,Drawings & Prints,1967-10-18,N,38743,,,,,,46.7,,,33.0,,
"Die Aktion, vol. 4, no. 46/47",W. Doessler,41432,,(),(0),(0),(),"November 21, 1914",Periodical with reproduction on cover and one woodcut by W. Doessler,"page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)",Committee on Prints and Illustrated Books Fund and The Library Council,947.2010.141,Periodical,Drawings & Prints,2010-11-10,Y,144346,http://www.moma.org/collection/works/144346,http://www.moma.org/media/W1siZiIsIjI0MTcxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=193870a31a2f9c5c,,,,30.8,,,23.2,,
The Two Sisters-in-Law (Les deux belles-soeurs) from Landscapes and Interiors (Paysages et intérieurs),Édouard Vuillard,6194,"(French, 1868–1940)",(French),(1868),(1940),(Male),1899,Lithograph from a portfolio of twelve lithographs and lithographed cover,"composition: 14 1/2 x 11 9/16"" (36.8 x 29.4 cm); sheet: 15 1/8 x 12 3/8"" (38.4 x 31.5 cm)",Gift of Abby Aldrich Rockefeller,599.1940.13,Print,Drawings & Prints,,Y,71674,http://www.moma.org/collection/works/71674,http://www.moma.org/media/W1siZiIsIjE3Nzg1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2f111a884788fbf1,,,,36.8,,,29.4,,
Lillian Cohen Christmas Card,Robert Brownjohn,816,"(American, 1925–1970)",(American),(1925),(1970),(Male),1950s,Lithograph,"9 x 4"" (22.9 x 10.2 cm)",Gift of Don Goeman,1057.2011,Design,Architecture & Design,2011-12-06,Y,154509,http://www.moma.org/collection/works/154509,http://www.moma.org/media/W1siZiIsIjIzNjcyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd9e8696cbff6e13,,,,22.860045720100004,,,10.16002032,,
Museum Dinner Service,Eva Zeisel,6556,"(American, born Hungary. 1906–2011)",(American),(1906),(2011),(Female),c. 1942-45,Glazed porcelain,,Gift of the manufacturer,205.1947.7,Design,Architecture & Design,,N,143056,,,,,,,,,,,
An Opera from Fluxshop,Emmett Williams,6377,"(American, 1925–2007)",(American),(1925),(2007),(Male),,Eleven offset scrolls,,The Gilbert and Lila Silverman Fluxus Collection Gift,2980.2008.65a-k,Installation,Drawings & Prints,2008-10-08,N,138063,,,,0.0,,0.0,,,0.0,,
Architecture Panoramas,Jan Dibbets,1533,"(Dutch, born 1941)",(Dutch),(1941),(0),(Male),1971,Chromogenic color print,"9 1/2 × 12"" (24.1 × 30.5 cm)",Anonymous gift,221.2014.128,Photograph,Photography,2014-05-08,N,185111,,,,,,21.7487934976,,,28.416306832600004,,
PASSY. RUE BERTON,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1901,Albumen silver print,,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.1478,Photograph,Photography,1968-03-06,N,39411,,,,,,,,,,,
Chair (Perspective sketch),Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1926-46,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)","Mies van der Rohe Archive, gift of the architect",810.1974,Mies van der Rohe Archive,Architecture & Design,1974-11-06,N,106538,,,,,,20.955,,,29.6863,,
"Grass, Glacier Bay, Alaska",Ansel Adams,60,"(American, 1902–1984)",(American),(1902),(1984),(Male),1948,Gelatin silver print,"3 7/8 × 4 7/8"" (9.8 × 12.3 cm)",Gift of David H. McAlpin,1743.1968,Photograph,Photography,1968-05-01,N,58326,,,,,,9.8,,,12.3,,
Pastorale (Rhythms),Paul Klee,3130,"(German, born Switzerland. 1879–1940)",(German),(1879),(1940),(Male),1927,Tempera on canvas mounted on wood,"27 1/4 x 20 5/8"" (69.3 x 52.4 cm)",Abby Aldrich Rockefeller Fund and exchange,157.1945,Painting,Painting & Sculpture,1945-06-13,Y,79012,http://www.moma.org/collection/works/79012,http://www.moma.org/media/W1siZiIsIjE1MTA0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ce1668ca4135c399,,,,69.3,,,52.4,,
BAVARIAN MANOR HOUSE,John Paul Edwards,1684,"(American, 1883–1968)",(American),(1883),(1968),(Male),n.d.,Bromoil print,"11 7/16 × 7"" (29.0 × 17.8 cm)",Gift of Mr. and Mrs. Norman F. Donant,56.1973,Photograph,Photography,1973-02-13,N,45119,,,,,,29.0,,,17.8,,
Plate from Seven Passages to a Flight,Faith Ringgold,7066,"(American, born 1930)",(American),(1930),(0),(Female),1995,"Etching with hand additions and pochoir from an illustrated book with nine etchings with hand additions and pochoir on linen, including cover","composition: 8 15/16 × 14 15/16"" (22.7 × 37.9 cm); sheet (each, irreg.): 9 1/8 × 7 5/8"" (23.2 × 19.3 cm)",The Ralph E. Shikes Fund,717.1996.5,Illustrated Book,Drawings & Prints,1996-11-12,Y,101885,http://www.moma.org/collection/works/101885,,,,,22.7,,,37.9,,
Plate (page 269) from LES PETITES FLEURS,Émile Bernard,511,"(French, 1868–1941)",(French),(1868),(1941),(Male),1928,,"irreg. composition  12 3/16 x 9 7/16"" (31 x 24 cm)",The Louis E. Stern Collection,677.1964.217,Illustrated Book,Drawings & Prints,1964-10-06,N,20439,,,,,,31.0,,,24.0,,
(Untitled),Antoni Tàpies,5809,"(Spanish, 1923–2012)",(Spanish),(1923),(2012),(Male),(1965),"Lithograph, printed in black and color","Sheet 19 7/8 x 25 13/16"" (50.6 x 65.5  cm)Comp. 18 3/4 x 25 1/8"" (47.7 x 63.3 cm)",Celeste and Armand Bartos Foundation Fund,2491.1967,Print,Drawings & Prints,1967-12-13,N,78233,,,,,,47.7,,,63.3,,
Conversation I,Izabella Gustowska,6858,"(Polish, born 1948)",(Polish),(1948),(0),(Female),1989,Photolithograph,,Gift of the Kosciuszko Foundation,268.1992,Print,Drawings & Prints,1992-05-20,Y,65653,http://www.moma.org/collection/works/65653,,,,,,,,,,
Bassin de la Villette. Quai de la Loire,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1914,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3545,Photograph,Photography,1968-03-06,Y,41708,http://www.moma.org/collection/works/41708,http://www.moma.org/media/W1siZiIsIjI5ODgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fe58d6c20dea48d4,,,,,,,,,
Female Nude with Male Heads (Weiblicher Akt mit Männerköpfen),Wilhelm Lehmbruck,3464,"(German, 1881–1919)",(German),(1881),(1919),(Male),(1912),Drypoint,"plate: 9 5/16 x 7 1/16"" (23.6 x 18 cm); sheet: 12 x 9 3/4"" (30.5 x 24.8 cm)",Gift of Samuel A. Berger,385.1954,Print,Drawings & Prints,1954-09-30,Y,68208,http://www.moma.org/collection/works/68208,http://www.moma.org/media/W1siZiIsIjExNjQ0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a357a769360e5adf,,,,23.6,,,18.0,,
Asphalters,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1899-1900,Gelatin silver printing-out-paper print,"6 7/8 × 8 1/4"" (17.5 × 21 cm)",Given anonymously,140.1950,Photograph,Photography,1950-04-24,Y,46820,http://www.moma.org/collection/works/46820,http://www.moma.org/media/W1siZiIsIjIzNjY4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3e72d854a156a5f4,,,,17.5,,,21.0,,
Untitled (Butterfly Flower #27),Hiroe Saeki,28785,"(Japanese, born 1978)",(Japanese),(1978),(0),(Female),2004,Pencil on paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2932.2005,Drawing,Drawings & Prints,2005-05-10,Y,97246,http://www.moma.org/collection/works/97246,http://www.moma.org/media/W1siZiIsIjEyMjYyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f36421ec2c144b59,,,,41.9101,,,29.8451,,
Cookie Cutter,Hutzler Manufacturing Co.,10105,"(American, established 1938)",(American),(1938),(0),(),c. 1942,Plastic,"1 1/2 x 2 5/8"" (3.8 x 6.7cm)",Purchase,206.1948,Design,Architecture & Design,1948-03-17,Y,2655,http://www.moma.org/collection/works/2655,,,,6.7,3.8,,,,,
"BESIDE THE DEAD, plate XXI (folio 69) from FOR THE SAKE OF A SINGLE VERSE ... FROM THE NOTEBOOKS OF MALTE LAURIDS BRIGGE",Ben Shahn,5366,"(American, born Lithuania. 1898–1969)",(American),(1898),(1969),(Male),1968,"Lithograph, printed in color","irreg composition  22 1/2 x 17 11/16"" (57.1 x 45 cm)",Gift of Mr. and Mrs. John D. Rockefeller 3rd in memory of René d'Harnoncourt,1404.1968.23,Illustrated Book,Drawings & Prints,1968-10-10,N,32266,,,,,,57.1,,,45.0,,
"Naples, Italy",Henri Cartier-Bresson,1000,"(French, 1908–2004)",(French),(1908),(2004),(Male),1960,"Gelatin silver print, printed 1963","9 3/4 × 13 15/16"" (24.7 × 35.5 cm)",Gift of the artist,1246.1969,Photograph,Photography,1969-01-08,Y,57969,http://www.moma.org/collection/works/57969,http://www.moma.org/media/W1siZiIsIjExNjY1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=33aa0567dc7d638f,,,,24.7,,,35.5,,
"Duplicate of plate from page 18 (supplementary suite, plate 12) from LA BELLE ENFANT",Raoul Dufy,1646,"(French, 1877–1953)",(French),(1877),(1953),(Male),1930,,"irreg. composition  9 1/16 x 5 13/16"" (23 x 14.8 cm)",The Louis E. Stern Collection,818.1964.B12,Illustrated Book,Drawings & Prints,1964-10-06,N,25500,,,,,,23.0,,,14.8,,
Saenredam,Jan Dibbets,1533,"(Dutch, born 1941)",(Dutch),(1941),(0),(Male),1973,Gelatin silver print,"8 9/16 × 11 3/16"" (21.7 × 28.4 cm)
",Anonymous gift,221.2014.301,Photograph,Photography,2014-05-08,N,185544,,,,,,21.7487934976,,,28.416306832600004,,
"Family Lay Daughter, A Bomb Victim, to Rest in Belfast from the series The Troubles",Les Levine,3514,"(American, born in Ireland 1935)",(American),(1935),(0),(Male),1977,"One from a portfolio of 18 photoetchings
","plate: 15 7/8 x 19 5/8"" (40.4 x 49.9 cm); sheet: 22 3/8 x 29 15/16"" (56.8 x 76 cm)",Gift of Michael N. Appelle,1078.1979.6,Print,Drawings & Prints,1979-12-04,Y,75539,http://www.moma.org/collection/works/75539,http://www.moma.org/media/W1siZiIsIjI1NDY4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=348fe5482db648e7,,,,40.4,,,49.9,,
Central Park,Tod Papageorge,4490,"(American, born 1940)",(American),(1940),(0),(Male),1982,Gelatin silver print,"10 11/16 × 15 3/4"" (27.2 × 40.0 cm)",Purchase,598.1983,Photograph,Photography,1983-05-26,Y,55488,http://www.moma.org/collection/works/55488,http://www.moma.org/media/W1siZiIsIjIwMTIxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f1a87ea15fc8df12,,,,27.2,,,40.0,,
Scene of Orpheus (Scène d'Orphée),Jean Cocteau,1168,"(French, 1889–1963)",(French),(1889),(1963),(Male),n.d.,"Cut-and-pasted printed paper and gelatin silver print, crayon, and ink on board","13 1/4 x 16 1/2"" (33.7 x 41.9 cm)",Gift of John Pratt,334.1949,Drawing,Drawings & Prints,1949-09-29,Y,36452,http://www.moma.org/collection/works/36452,http://www.moma.org/media/W1siZiIsIjQ3MTkxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=441d4c95ea5bdd1b,,,,33.7,,,41.9,,
Untitled,Rick Dingus,1548,"(American, born 1951)",(American),(1951),(0),(Male),c. 1982,Gelatin silver print (with hand-applied graphite),"10 1/8 × 15"" (25.6 × 38 cm)",Gift of John C. Waddell,42.1987,Photograph,Photography,1987-02-19,Y,44603,http://www.moma.org/collection/works/44603,http://www.moma.org/media/W1siZiIsIjIzODM3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=75b1469dda7ad7e2,,,,25.6,,,38.0,,
"R. R. At Leo's - Mar. 29, 420 W. Broadway",Robert Rauschenberg,4823,"(American, 1925–2008)",(American),(1925),(2008),(Male),1980,Offset lithograph,"30 11/16 x 22 1/8"" (78 x 56.2 cm)",Gift of the Leo Castelli Gallery,677.1980,Design,Architecture & Design,1980-10-30,Y,7909,http://www.moma.org/collection/works/7909,,,,,78.0,,,56.2,,
"Roth-Händle, Naturrien",Michael Engelmann,1732,"(American, born Czechoslovakia. 1928–1966)",(American),(1928),(1966),(Male),c. 1961,Offset lithograph,"70 x 33"" (177.7 x 83.8 cm)",Gift of Echo Engelmann,254.1994,Design,Architecture & Design,1994-05-03,Y,5871,http://www.moma.org/collection/works/5871,,,,,177.7,,,83.8,,
Untitled,Bruce Horowitz,2729,"(American, born 1949)",(American),(1949),(0),(Male),1982,Gelatin silver print,"13 5/16 × 13 7/16"" (33.7 × 34.2 cm)",Gift of the artist,371.1983,Photograph,Photography,1983-03-24,Y,51975,http://www.moma.org/collection/works/51975,http://www.moma.org/media/W1siZiIsIjI4NjU5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d20b6029beba8c0a,,,,33.7,,,34.2,,
The Tiger and the Bear (Tiger og bjørn),Edvard Munch,4164,"(Norwegian, 1863–1944)",(Norwegian),(1863),(1944),(Male),1908-09,Lithograph,"composition: 9 9/16 x 18 1/4"" (24.3 x 46.3 cm); sheet: 15 1/16 x 20 7/8"" (38.3 x 53.1 cm)",Gift of Samuel A. Berger,398.1954,Print,Drawings & Prints,1954-09-30,Y,68419,http://www.moma.org/collection/works/68419,http://www.moma.org/media/W1siZiIsIjE2NzU2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d9a15a51beaecddf,,,,24.3,,,46.3,,
"""The Panther"" at the Bal de la Horde, Montparnasse au Bal Bullier, Montparnasse. (Bal de la Hord à Montparnasse. Le fille surnomée la ""Panthere"")",Brassaï (Gyula Halász),745,"(French, born Transylvania. 1899–1984)",(French),(1899),(1984),(Male),1931,Gelatin silver print,"11 9/16 × 8 15/16"" (29.4 × 22.8 cm)",David H. McAlpin Fund,2539.1967,Photograph,Photography,1967-12-13,Y,58850,http://www.moma.org/collection/works/58850,http://www.moma.org/media/W1siZiIsIjE4NjY4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5cfdd45d86e237f6,,,,29.4,,,22.8,,
Have you seen my language?,Matt Keegan,48637,"(American, born 1976)",(American),(1976),(0),(Male),2016,Chromogenic color print,"20 5/8 × 15 5/8"" (52.4 × 39.7 cm)",Committee on Photography Fund,256.2018.32,Photograph,Photography,2018-05-17,Y,290488,http://www.moma.org/collection/works/290488,http://www.moma.org/media/W1siZiIsIjQzNzg3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c69ed4b0fd70cd6a,,,,52.3876047752,,,39.6875793752,,
Capucines,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1921-22,Albumen silver print,"8 3/8 × 6 7/8"" (21.3 × 17.5 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3231,Photograph,Photography,1968-03-06,Y,41360,http://www.moma.org/collection/works/41360,http://www.moma.org/media/W1siZiIsIjYxOTUwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=f71ad7223c027295,,,,21.2725,,,17.4625,,
